
---------- Begin Simulation Statistics ----------
simSeconds                                   0.014484                       # Number of seconds simulated (Second)
simTicks                                  14483775250                       # Number of ticks simulated (Tick)
finalTick                                 14483775250                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    489.97                       # Real time elapsed on the host (Second)
hostTickRate                                 29560319                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    3122076                       # Number of bytes of host memory used (Byte)
simInsts                                    333871388                       # Number of instructions simulated (Count)
simOps                                      583614367                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   681407                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                    1191114                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpus0.numCycles                       57935102                       # Number of cpu cycles simulated (Cycle)
system.cpus0.cpi                             0.346711                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpus0.ipc                             2.884244                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpus0.numWorkItemsStarted                    0                       # Number of work items this cpu started (Count)
system.cpus0.numWorkItemsCompleted                  0                       # Number of work items this cpu completed (Count)
system.cpus0.instsAdded                     308321993                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpus0.nonSpecInstsAdded                  15139                       # Number of non-speculative instructions added to the IQ (Count)
system.cpus0.instsIssued                    301868903                       # Number of instructions issued (Count)
system.cpus0.squashedInstsIssued               459863                       # Number of squashed instructions issued (Count)
system.cpus0.squashedInstsExamined           16249039                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpus0.squashedOperandsExamined        33408243                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpus0.squashedNonSpecRemoved              4467                       # Number of squashed non-spec instructions that were removed (Count)
system.cpus0.numIssuedDist::samples          57614876                       # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::mean             5.239426                       # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::stdev            2.592456                       # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::underflows              0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::0                 7790804     13.52%     13.52% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::1                 1260850      2.19%     15.71% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::2                  822174      1.43%     17.14% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::3                 1387181      2.41%     19.55% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::4                 4547938      7.89%     27.44% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::5                 7962515     13.82%     41.26% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::6                11619546     20.17%     61.43% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::7                10710385     18.59%     80.02% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::8                11513483     19.98%    100.00% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::overflows               0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::min_value               0                       # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::max_value               8                       # Number of insts issued each cycle (Count)
system.cpus0.numIssuedDist::total            57614876                       # Number of insts issued each cycle (Count)
system.cpus0.statFuBusy::No_OpClass                 0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::IntAlu               4042699     76.35%     76.35% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::IntMult                    0      0.00%     76.35% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::IntDiv                     0      0.00%     76.35% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatAdd                   0      0.00%     76.35% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatCmp                   0      0.00%     76.35% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatCvt                   0      0.00%     76.35% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatMult                  0      0.00%     76.35% # attempts to use FU when none available (Count)
system.cpus0.statFuBusy::FloatMultAcc               0      0.00%     76.35% # attempts to use FU when none available (Count)
