
---------- Begin Simulation Statistics ----------
simSeconds                                   0.020421                       # Number of seconds simulated (Second)
simTicks                                  20421058000                       # Number of ticks simulated (Tick)
finalTick                                 20421058000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    129.78                       # Real time elapsed on the host (Second)
hostTickRate                                157356544                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    4315704                       # Number of bytes of host memory used (Byte)
simInsts                                     24686449                       # Number of instructions simulated (Count)
simOps                                       45907724                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   190224                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     353746                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.bridge0.power_state.pwrStateResidencyTicks::UNDEFINED  20421058000                       # Cumulative time (in ticks) in various power states (Tick)
system.bridge1.power_state.pwrStateResidencyTicks::UNDEFINED  20421058000                       # Cumulative time (in ticks) in various power states (Tick)
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.node0.cpus0.numCycles                100737834                       # Number of cpu cycles simulated (Cycle)
system.node0.cpus0.cpi                       8.659710                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.node0.cpus0.ipc                       0.115477                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.node0.cpus0.numWorkItemsStarted              0                       # Number of work items this cpu started (Count)
system.node0.cpus0.numWorkItemsCompleted            0                       # Number of work items this cpu completed (Count)
system.node0.cpus0.instsAdded                22722958                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.node0.cpus0.nonSpecInstsAdded             4646                       # Number of non-speculative instructions added to the IQ (Count)
system.node0.cpus0.instsIssued               22345059                       # Number of instructions issued (Count)
system.node0.cpus0.squashedInstsIssued          29973                       # Number of squashed instructions issued (Count)
system.node0.cpus0.squashedInstsExamined      1009372                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.node0.cpus0.squashedOperandsExamined      1860729                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.node0.cpus0.squashedNonSpecRemoved         1135                       # Number of squashed non-spec instructions that were removed (Count)
system.node0.cpus0.numIssuedDist::samples    100156639                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::mean       0.223101                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::stdev      1.114302                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::underflows            0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::0          95490876     95.34%     95.34% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::1            428463      0.43%     95.77% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::2            475345      0.47%     96.24% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::3            498958      0.50%     96.74% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::4            656991      0.66%     97.40% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::5            641897      0.64%     98.04% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::6            741619      0.74%     98.78% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::7            598051      0.60%     99.38% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::8            624439      0.62%    100.00% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::overflows            0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::min_value            0                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::max_value            8                       # Number of insts issued each cycle (Count)
system.node0.cpus0.numIssuedDist::total     100156639                       # Number of insts issued each cycle (Count)
system.node0.cpus0.statFuBusy::No_OpClass            0      0.00%      0.00% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntAlu           99659      8.48%      8.48% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntMult              0      0.00%      8.48% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::IntDiv               0      0.00%      8.48% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatAdd             0      0.00%      8.48% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatCmp             0      0.00%      8.48% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatCvt             0      0.00%      8.48% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMult            0      0.00%      8.48% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMultAcc            0      0.00%      8.48% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatDiv             0      0.00%      8.48% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatMisc            0      0.00%      8.48% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::FloatSqrt            0      0.00%      8.48% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdAdd              1      0.00%      8.48% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdAddAcc            0      0.00%      8.48% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdAlu          26824      2.28%     10.76% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdCmp              2      0.00%     10.76% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdCvt             14      0.00%     10.76% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMisc           100      0.01%     10.77% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMult             0      0.00%     10.77% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMultAcc            0      0.00%     10.77% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdMatMultAcc            0      0.00%     10.77% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdShift            1      0.00%     10.77% # attempts to use FU when none available (Count)
system.node0.cpus0.statFuBusy::SimdShiftAcc            0      0.00%     10.77% # attempts to use FU when none available (Count)
